ARTICULO;IMAGEN;PESO;IVA;PRECIOCANO;TIPCANON;COMPRA;VENTA;FAMILIA;MARCA;DENOMINA;URL;STOCK;PARTNUMBER;CODIGOBAR;DESCEXTRTF;EAN;CATEGORIA_ID;SUBCATEGORIA_ID;SUBCATEGORIADEPRODUCTO;CODIGO_MAYORISTA;CODIGO_FABRICANTE;VOLUMEN;SHORTDESC;LONGDESC;HighPic;LowPic;ThumbPic
GA30207007;https://www.dmi.es/photo/1501/630/2652379626523796/th/pack-adaptador-mhl--hdmi-cable-atril-android.jpg;0.50;21;0.00;;17.53;;"Cables, Conectores y Adaptadores";"Mad Catz";"PACK ADAPTADOR MHL- HDMI/CABLE/ATRIL/ANDROID";https://www.dmi.es/ficha/GA30207007;3.00;MCB619100001/04/1;;;0728658044466;830;1501;"Adaptadores de Cable";GA30207007;MCB619100001/04/1;624.00;;;https://www.dmi.es/photo/1501/630/2652379626523796/bg/pack-adaptador-mhl--hdmi-cable-atril-android.jpg;https://www.dmi.es/photo/1501/630/2652379626523796/pq/pack-adaptador-mhl--hdmi-cable-atril-android.jpg;https://www.dmi.es/photo/1501/630/2652379626523796/pq/pack-adaptador-mhl--hdmi-cable-atril-android.jpg
IM4235411;https://www.dmi.es/photo/234/639/2420889024208890/th/impresora-hp-officejet-pro-6230--wiffi-doble-cara.jpg;2.00;21;4.50;"Canon Impr. Mono. >39 CPM";47.35;;Impresoras;HP;"IMPRESORA HP OFFICEJET PRO 6230  WIFFI/DOBLE CARA";https://www.dmi.es/ficha/IM4235411;27.00;E3E03A;;"HP OfficeJet Pro 6230 ePrinter, Inkjet, 18ppm, A4, 500MHz, 128MB";0888182569252;999994;234;"Impresoras de Inyección";IM4235411;E3E03A;40500.00;"HP OfficeJet Pro 6230 ePrinter, Inkjet, 18ppm, A4, 500MHz, 128MB";;https://www.dmi.es/photo/234/639/2420889024208890/bg/impresora-hp-officejet-pro-6230--wiffi-doble-cara.jpg;https://www.dmi.es/photo/234/639/2420889024208890/pq/impresora-hp-officejet-pro-6230--wiffi-doble-cara.jpg;https://www.dmi.es/photo/234/639/2420889024208890/pq/impresora-hp-officejet-pro-6230--wiffi-doble-cara.jpg
SE8035003;https://www.dmi.es/photo/788/675/1454486014544860/th/hpe-carepack-3yr--proliant-ml310e-gen8-nbd.jpg;0.10;21;0.00;;126.74;;"Garantía y Soporte";"Hewlett Packard Enterprise";"HPE CAREPACK 3YR  PROLIANT ML310e GEN8 NBD";https://www.dmi.es/ficha/SE8035003;0.00;U6F61E;;"HP 3 year Next business day ProLiant ML310e Hardware Support";;839;788;"Extensiones de la Garantía";SE8035003;U6F61E;1000.00;"HP 3 year Next business day ProLiant ML310e Hardware Support";;https://www.dmi.es/photo/788/675/1454486014544860/bg/hpe-carepack-3yr--proliant-ml310e-gen8-nbd.jpg;https://www.dmi.es/photo/788/675/1454486014544860/pq/hpe-carepack-3yr--proliant-ml310e-gen8-nbd.jpg;https://www.dmi.es/photo/788/675/1454486014544860/pq/hpe-carepack-3yr--proliant-ml310e-gen8-nbd.jpg
CA1132027;https://www.dmi.es/photo/1501/711/2652330426523304/th/slot-bracket-gembird-usb-x2.jpg;0.10;21;0.00;;1.00;;"Cables, Conectores y Adaptadores";Gembird;"SLOT BRACKET GEMBIRD USB x2";https://www.dmi.es/ficha/CA1132027;0.00;CCUSBRECEPTACLE;;"2xUSB 2.0, 10pin, 25cm";8716309011174;830;1501;"Adaptadores de Cable";CA1132027;CCUSBRECEPTACLE;45.60;"2xUSB 2.0, 10pin, 25cm";;https://www.dmi.es/photo/1501/711/2652330426523304/bg/slot-bracket-gembird-usb-x2.jpg;https://www.dmi.es/photo/1501/711/2652330426523304/pq/slot-bracket-gembird-usb-x2.jpg;https://www.dmi.es/photo/1501/711/2652330426523304/pq/slot-bracket-gembird-usb-x2.jpg
CA1132029;https://www.dmi.es/photo/1501/712/2543681425436814/th/adaptador-gembird-hdmi-macho-a-dvi-hembra.jpg;0.10;21;0.00;;1.45;;"Cables, Conectores y Adaptadores";Gembird;"ADAPTADOR GEMBIRD HDMI MACHO A DVI HEMBRA";https://www.dmi.es/ficha/CA1132029;0.00;A-HDMI-DVI-3;;"Gembird HDMI - DVI, M/F, HDMI, DVI, Negro, Macho/hembra, Oro, ISO 9002";8716309080828;830;1501;"Adaptadores de Cable";CA1132029;A-HDMI-DVI-3;96.00;"Gembird HDMI - DVI, M/F, HDMI, DVI, Negro, Macho/hembra, Oro, ISO 9002";;https://www.dmi.es/photo/1501/712/2543681425436814/bg/adaptador-gembird-hdmi-macho-a-dvi-hembra.jpg;https://www.dmi.es/photo/1501/712/2543681425436814/pq/adaptador-gembird-hdmi-macho-a-dvi-hembra.jpg;https://www.dmi.es/photo/1501/712/2543681425436814/pq/adaptador-gembird-hdmi-macho-a-dvi-hembra.jpg
CA1532009;https://www.dmi.es/photo/2918/713/1335198613351986/th/cable-hdmi-gembird-macho-macho-4k-3d-90-grados-4-5m.jpg;0.50;21;0.00;;3.35;;"Cables, Conectores y Adaptadores";Gembird;"CABLE HDMI GEMBIRD MACHO MACHO 4K 3D 90 GRADOS 4,5M";https://www.dmi.es/ficha/CA1532009;2.00;CC-HDMI490-15;;;8716309066044;830;2918;"Cables HDMI";CA1532009;CC-HDMI490-15;1344.00;;;https://www.dmi.es/photo/2918/713/1335198613351986/bg/cable-hdmi-gembird-macho-macho-4k-3d-90-grados-4-5m.jpg;https://www.dmi.es/photo/2918/713/1335198613351986/pq/cable-hdmi-gembird-macho-macho-4k-3d-90-grados-4-5m.jpg;https://www.dmi.es/photo/2918/713/1335198613351986/pq/cable-hdmi-gembird-macho-macho-4k-3d-90-grados-4-5m.jpg
CA1832002;https://www.dmi.es/photo/869/714/47025544702554/th/cable-alimentacion-gembird-schuko-a-c13-90-grados-1-8m.jpg;0.30;21;0.00;;1.55;;"Cables, Conectores y Adaptadores";Gembird;"CABLE ALIMENTACION GEMBIRD SCHUKO A C13 90 GRADOS 1,8M";https://www.dmi.es/ficha/CA1832002;33.00;PC-186A-VDE;;;8716309047005;830;869;"Cables de Alimentación";CA1832002;PC-186A-VDE;480.00;;;https://www.dmi.es/photo/869/714/47025544702554/bg/cable-alimentacion-gembird-schuko-a-c13-90-grados-1-8m.jpg;https://www.dmi.es/photo/869/714/47025544702554/pq/cable-alimentacion-gembird-schuko-a-c13-90-grados-1-8m.jpg;https://www.dmi.es/photo/869/714/47025544702554/pq/cable-alimentacion-gembird-schuko-a-c13-90-grados-1-8m.jpg
CA1832007;https://www.dmi.es/photo/869/715/1176664011766640/th/cable-alimentacion-gembird-extension-c13-macho-a-c13-hembra-3m.jpg;0.28;21;0.00;;2.60;;"Cables, Conectores y Adaptadores";Gembird;"CABLE ALIMENTACION GEMBIRD EXTENSION C13 MACHO A C13 HEMBRA 3M";https://www.dmi.es/ficha/CA1832007;57.00;PC-189-VDE-3M;;;8716309037884;830;869;"Cables de Alimentación";CA1832007;PC-189-VDE-3M;572.00;;;https://www.dmi.es/photo/869/715/1176664011766640/bg/cable-alimentacion-gembird-extension-c13-macho-a-c13-hembra-3m.jpg;https://www.dmi.es/photo/869/715/1176664011766640/pq/cable-alimentacion-gembird-extension-c13-macho-a-c13-hembra-3m.jpg;https://www.dmi.es/photo/869/715/1176664011766640/pq/cable-alimentacion-gembird-extension-c13-macho-a-c13-hembra-3m.jpg
CA1832010;https://www.dmi.es/photo/869/716/1315346013153460/th/cable-alimentacion-gembird-c13-a-c14-1-8m.jpg;0.50;21;0.00;;1.13;;"Cables, Conectores y Adaptadores";Gembird;"CABLE ALIMENTACION GEMBIRD C13 A C14 1,8M";https://www.dmi.es/ficha/CA1832010;100.00;PC-189;;;8716309011310;830;869;"Cables de Alimentación";CA1832010;PC-189;448.00;;;https://www.dmi.es/photo/869/716/1315346013153460/bg/cable-alimentacion-gembird-c13-a-c14-1-8m.jpg;https://www.dmi.es/photo/869/716/1315346013153460/pq/cable-alimentacion-gembird-c13-a-c14-1-8m.jpg;https://www.dmi.es/photo/869/716/1315346013153460/pq/cable-alimentacion-gembird-c13-a-c14-1-8m.jpg
CA2032074;https://www.dmi.es/photo/883/717/1340400713404007/th/cable-red-gembird-utp-cat5e-2m-amarillo.jpg;0.10;21;0.00;;0.43;;"Cables, Conectores y Adaptadores";Gembird;"CABLE RED GEMBIRD UTP CAT5E 2M AMARILLO";https://www.dmi.es/ficha/CA2032074;75.00;PP12-2M/Y;;"Gembird PP12-2M/Y, Cat5e, RJ-45, RJ-45, Macho/Macho, Oro, 10/100/1000Base-T(X)";8716309038331;830;883;"Cables Ethernet";CA2032074;PP12-2M/Y;132.00;"Gembird PP12-2M/Y, Cat5e, RJ-45, RJ-45, Macho/Macho, Oro, 10/100/1000Base-T(X)";;https://www.dmi.es/photo/883/717/1340400713404007/bg/cable-red-gembird-utp-cat5e-2m-amarillo.jpg;https://www.dmi.es/photo/883/717/1340400713404007/pq/cable-red-gembird-utp-cat5e-2m-amarillo.jpg;https://www.dmi.es/photo/883/717/1340400713404007/pq/cable-red-gembird-utp-cat5e-2m-amarillo.jpg
CA2032105;https://www.dmi.es/photo/883/718/1831942318319423/th/cable-red-gembird-ftp-cat6-0-5m-verde.jpg;0.10;21;0.00;;0.43;;"Cables, Conectores y Adaptadores";Gembird;"CABLE RED GEMBIRD FTP CAT6 0,5M VERDE";https://www.dmi.es/ficha/CA2032105;100.00;PP6-0.5M/G;;"Patch Cord Cat.6, UTP, 0.5m, Verde";8716309074056;830;883;"Cables Ethernet";CA2032105;PP6-0.5M/G;108.00;"Patch Cord Cat.6, UTP, 0.5m, Verde";;https://www.dmi.es/photo/883/718/1831942318319423/bg/cable-red-gembird-ftp-cat6-0-5m-verde.jpg;https://www.dmi.es/photo/883/718/1831942318319423/pq/cable-red-gembird-ftp-cat6-0-5m-verde.jpg;https://www.dmi.es/photo/883/718/1831942318319423/pq/cable-red-gembird-ftp-cat6-0-5m-verde.jpg
CA2032118;https://www.dmi.es/photo/883/720/2328857223288572/th/cable-red-gembird-ftp-cat6-libre-alogeno-2m-gris.jpg;0.10;21;0.00;;1.15;;"Cables, Conectores y Adaptadores";Gembird;"CABLE RED GEMBIRD FTP CAT6 LIBRE ALOGENO 2M GRIS";https://www.dmi.es/ficha/CA2032118;100.00;PP6-LSZH-2M;;"FTP, Cat6, LSZH jacket, CCA, 2m";8716309080385;830;883;"Cables Ethernet";CA2032118;PP6-LSZH-2M;360.00;"FTP, Cat6, LSZH jacket, CCA, 2m";;https://www.dmi.es/photo/883/720/2328857223288572/bg/cable-red-gembird-ftp-cat6-libre-alogeno-2m-gris.jpg;https://www.dmi.es/photo/883/720/2328857223288572/pq/cable-red-gembird-ftp-cat6-libre-alogeno-2m-gris.jpg;https://www.dmi.es/photo/883/720/2328857223288572/pq/cable-red-gembird-ftp-cat6-libre-alogeno-2m-gris.jpg
CA2032119;https://www.dmi.es/photo/883/721/2328860123288601/th/cable-red-gembird-ftp-cat6-libre-alogeno-3m-gris.jpg;0.08;21;0.00;;1.32;;"Cables, Conectores y Adaptadores";Gembird;"CABLE RED GEMBIRD FTP CAT6 LIBRE ALOGENO 3M GRIS";https://www.dmi.es/ficha/CA2032119;55.00;PP6-LSZH-3M;;"FTP, Cat6, LSZH jacket, CCA, 3m";8716309080392;830;883;"Cables Ethernet";CA2032119;PP6-LSZH-3M;532.00;"FTP, Cat6, LSZH jacket, CCA, 3m";;https://www.dmi.es/photo/883/721/2328860123288601/bg/cable-red-gembird-ftp-cat6-libre-alogeno-3m-gris.jpg;https://www.dmi.es/photo/883/721/2328860123288601/pq/cable-red-gembird-ftp-cat6-libre-alogeno-3m-gris.jpg;https://www.dmi.es/photo/883/721/2328860123288601/pq/cable-red-gembird-ftp-cat6-libre-alogeno-3m-gris.jpg
