ARTICULO;IMAGEN;PESO;IVA;PRECIOCANO;TIPCANON;COMPRA;VENTA;FAMILIA;MARCA;DENOMINA;URL;STOCK;PARTNUMBER;CODIGOBAR;DESCEXTRTF;EAN;CATEGORIA_ID;SUBCATEGORIA_ID;SUBCATEGORIADEPRODUCTO;CODIGO_MAYORISTA;CODIGO_FABRICANTE;VOLUMEN;SHORTDESC;LONGDESC;HighPic;LowPic;ThumbPic
HD1115240;https://www.dmi.es/photo/219/240/1500255715002557/th/disco-toshiba-2tb-sata3-64mb.jpg;0.25;21;5.45;"Canon Discos Duros Internos";45.68;;"Discos duros internos";Toshiba;"DISCO TOSHIBA 2TB SATA3 64MB";https://www.dmi.es/ficha/HD1115240;100.00;DT01ACA200;;;5711045449642;999952;219;"Discos Duros Internos";HD1115240;DT01ACA200;412.50;;;https://www.dmi.es/photo/219/240/1500255715002557/bg/disco-toshiba-2tb-sata3-64mb.jpg;https://www.dmi.es/photo/219/240/1500255715002557/pq/disco-toshiba-2tb-sata3-64mb.jpg;https://www.dmi.es/photo/219/240/1500255715002557/pq/disco-toshiba-2tb-sata3-64mb.jpg
OP22128210;https://www.dmi.es/photo/1512/269/1182486611824866/th/ipad2--station-genius-spi6004w-control-remoto-cargador.jpg;1.17;21;0.00;;5.97;;Altavoces;Genius;"iPAD2  STATION GENIUS SPi6004W/CONTROL REMOTO/CARGADOR";https://www.dmi.es/ficha/OP22128210;100.00;31731013103;;;4710268238898;999978;1512;"Altavoces de Acoplamiento";OP22128210;31731013103;12992.00;;;https://www.dmi.es/photo/1512/269/1182486611824866/bg/ipad2--station-genius-spi6004w-control-remoto-cargador.jpg;https://www.dmi.es/photo/1512/269/1182486611824866/pq/ipad2--station-genius-spi6004w-control-remoto-cargador.jpg;https://www.dmi.es/photo/1512/269/1182486611824866/pq/ipad2--station-genius-spi6004w-control-remoto-cargador.jpg
HD1115232;https://www.dmi.es/photo/219/271/1459840414598404/th/disco-toshiba-1tb-sata3-32mb.jpg;0.25;21;5.45;"Canon Discos Duros Internos";28.82;;"Discos duros internos";Toshiba;"DISCO TOSHIBA 1TB SATA3 32MB";https://www.dmi.es/ficha/HD1115232;100.00;DT01ACA100;;;5051868551802;999952;219;"Discos Duros Internos";HD1115232;DT01ACA100;300.00;;;https://www.dmi.es/photo/219/271/1459840414598404/bg/disco-toshiba-1tb-sata3-32mb.jpg;https://www.dmi.es/photo/219/271/1459840414598404/pq/disco-toshiba-1tb-sata3-32mb.jpg;https://www.dmi.es/photo/219/271/1459840414598404/pq/disco-toshiba-1tb-sata3-32mb.jpg
HD1115231;https://www.dmi.es/photo/219/272/1459840314598403/th/disco-toshiba-500gb-sata3-32mb.jpg;0.25;21;5.45;"Canon Discos Duros Internos";28.52;;"Discos duros internos";Toshiba;"DISCO TOSHIBA 500Gb SATA3 32MB";https://www.dmi.es/ficha/HD1115231;100.00;DT01ACA050;;;5711045333903;999952;219;"Discos Duros Internos";HD1115231;DT01ACA050;412.50;;;https://www.dmi.es/photo/219/272/1459840314598403/bg/disco-toshiba-500gb-sata3-32mb.jpg;https://www.dmi.es/photo/219/272/1459840314598403/pq/disco-toshiba-500gb-sata3-32mb.jpg;https://www.dmi.es/photo/219/272/1459840314598403/pq/disco-toshiba-500gb-sata3-32mb.jpg
MD6230285;https://www.dmi.es/photo/567/333/2595700825957008/th/proyector-optoma-x402-4200ansii-1024x768.jpg;2.00;21;0.00;;527.47;;Proyección;Optoma;"PROYECTOR OPTOMA X402 4200ANSII 1024x768";https://www.dmi.es/ficha/MD6230285;0.00;95.70701GC0E;;"DLP, XGA 1024 x 768, 4200 ANSI Lumens, HDMI, 306W, 31dB, 2.57kg";5055387600157;558;567;Videoproyector;MD6230285;95.70701GC0E;17920.00;"DLP, XGA 1024 x 768, 4200 ANSI Lumens, HDMI, 306W, 31dB, 2.57kg";;https://www.dmi.es/photo/567/333/2595700825957008/bg/proyector-optoma-x402-4200ansii-1024x768.jpg;https://www.dmi.es/photo/567/333/2595700825957008/pq/proyector-optoma-x402-4200ansii-1024x768.jpg;https://www.dmi.es/photo/567/333/2595700825957008/pq/proyector-optoma-x402-4200ansii-1024x768.jpg
IM94228122;https://www.dmi.es/photo/304/476/2488378524883785/th/impresora-ricoh-sp-211su-multiifuncion-laser-monocromo.jpg;5.00;21;5.25;"Canon Impr. Multifuncion";49.02;;Impresoras;Ricoh;"IMPRESORA RICOH SP-211SU MULTIIFUNCION LASER MONOCROMO";https://www.dmi.es/ficha/IM94228122;0.00;903783;;"Laser, A4, 1200x600dpi, 22ppm, 128MB, USB 2.0, 400W, 9.9kg";4961311895852;999994;304;"Impresoras Multifunción";IM94228122;903783;101528.00;"Laser, A4, 1200x600dpi, 22ppm, 128MB, USB 2.0, 400W, 9.9kg";;https://www.dmi.es/photo/304/476/2488378524883785/bg/impresora-ricoh-sp-211su-multiifuncion-laser-monocromo.jpg;https://www.dmi.es/photo/304/476/2488378524883785/pq/impresora-ricoh-sp-211su-multiifuncion-laser-monocromo.jpg;https://www.dmi.es/photo/304/476/2488378524883785/pq/impresora-ricoh-sp-211su-multiifuncion-laser-monocromo.jpg
AC01160013;https://www.dmi.es/photo/2774/480/1234621712346217/th/funda-tablet-archos-arnova-9g2-g3.jpg;0.10;21;0.00;;0.77;;"Accesorios telefonía";Archos;"FUNDA TABLET ARCHOS ARNOVA 9G2 G3";https://www.dmi.es/ficha/AC01160013;14.00;501970;;;0690590519701;999953;2774;"Fundas para Tablets";AC01160013;501970;1632.00;;;https://www.dmi.es/photo/2774/480/1234621712346217/bg/funda-tablet-archos-arnova-9g2-g3.jpg;https://www.dmi.es/photo/2774/480/1234621712346217/pq/funda-tablet-archos-arnova-9g2-g3.jpg;https://www.dmi.es/photo/2774/480/1234621712346217/pq/funda-tablet-archos-arnova-9g2-g3.jpg
TF04269099;https://www.dmi.es/photo/3246/483/2486906724869067/th/baston-kitvision-extensible-selfie-bt-integrado-premium-rosa.jpg;0.20;21;0.00;;4.00;;"Accesorios telefonía";KitVision;"BASTON KITVISION EXTENSIBLE SELFIE BT INTEGRADO PREMIUM ROSA";https://www.dmi.es/ficha/TF04269099;84.00;BTSSPHPI;;;5030578333946;999953;3246;"Palos Selfie";TF04269099;BTSSPHPI;864.00;;;https://www.dmi.es/photo/3246/483/2486906724869067/bg/baston-kitvision-extensible-selfie-bt-integrado-premium-rosa.jpg;https://www.dmi.es/photo/3246/483/2486906724869067/pq/baston-kitvision-extensible-selfie-bt-integrado-premium-rosa.jpg;https://www.dmi.es/photo/3246/483/2486906724869067/pq/baston-kitvision-extensible-selfie-bt-integrado-premium-rosa.jpg
TF04269100;https://www.dmi.es/photo/3246/484/2486861124868611/th/baston-kitvision-extensible-selfie-bt-integrado-premium-blue.jpg;0.10;21;0.00;;4.00;;"Accesorios telefonía";KitVision;"BASTON KITVISION EXTENSIBLE SELFIE BT INTEGRADO PREMIUM BLUE";https://www.dmi.es/ficha/TF04269100;15.00;BTSSPHBL;;;5030578333939;999953;3246;"Palos Selfie";TF04269100;BTSSPHBL;864.00;;;https://www.dmi.es/photo/3246/484/2486861124868611/bg/baston-kitvision-extensible-selfie-bt-integrado-premium-blue.jpg;https://www.dmi.es/photo/3246/484/2486861124868611/pq/baston-kitvision-extensible-selfie-bt-integrado-premium-blue.jpg;https://www.dmi.es/photo/3246/484/2486861124868611/pq/baston-kitvision-extensible-selfie-bt-integrado-premium-blue.jpg
CA11118023;https://www.dmi.es/photo/1158/511/1383225913832259/th/slot-bracket-2xusb-2-0-bajo-peerfil.jpg;0.10;21;0.00;;0.89;;"Cables, Conectores y Adaptadores";DeLOCK;"SLOT BRACKET 2xUSB 2,0 BAJO PEERFIL";https://www.dmi.es/ficha/CA11118023;0.00;83119;;;4043619654666;830;1158;"Cables USB";CA11118023;83119;72.00;;;https://www.dmi.es/photo/1158/511/1383225913832259/bg/slot-bracket-2xusb-2-0-bajo-peerfil.jpg;https://www.dmi.es/photo/1158/511/1383225913832259/pq/slot-bracket-2xusb-2-0-bajo-peerfil.jpg;https://www.dmi.es/photo/1158/511/1383225913832259/pq/slot-bracket-2xusb-2-0-bajo-peerfil.jpg
PE40166002;https://www.dmi.es/photo/577/534/59307575930757/th/webcam-creative-live-chat-hd-l8.jpg;0.10;21;0.00;;16.70;;Periféricos;"Creative Labs";"WEBCAM CREATIVE LIVE CHAT HD L8";https://www.dmi.es/ficha/PE40166002;0.00;73VF070000001;;;5390660174285;999996;577;"Cámaras Web";PE40166002;73VF070000001;18392.00;;;https://www.dmi.es/photo/577/534/59307575930757/bg/webcam-creative-live-chat-hd-l8.jpg;https://www.dmi.es/photo/577/534/59307575930757/pq/webcam-creative-live-chat-hd-l8.jpg;https://www.dmi.es/photo/577/534/59307575930757/pq/webcam-creative-live-chat-hd-l8.jpg
TF04269101;https://www.dmi.es/photo/3246/536/2486864124868641/th/baston-kitvision-extensible-selfie-bt-integrado-premium-negro.jpg;0.20;21;0.00;;4.00;;"Accesorios telefonía";KitVision;"BASTON KITVISION EXTENSIBLE SELFIE BT INTEGRADO PREMIUM NEGRO";https://www.dmi.es/ficha/TF04269101;38.00;BTSSPHBK;;;5030578333922;999953;3246;"Palos Selfie";TF04269101;BTSSPHBK;864.00;;;https://www.dmi.es/photo/3246/536/2486864124868641/bg/baston-kitvision-extensible-selfie-bt-integrado-premium-negro.jpg;https://www.dmi.es/photo/3246/536/2486864124868641/pq/baston-kitvision-extensible-selfie-bt-integrado-premium-negro.jpg;https://www.dmi.es/photo/3246/536/2486864124868641/pq/baston-kitvision-extensible-selfie-bt-integrado-premium-negro.jpg
OP1234387;https://www.dmi.es/photo/194/539/59108835910883/th/teclado-logitech-k120-usb-negro.jpg;0.50;21;0.00;;10.21;;Periféricos;Logitech;"TECLADO LOGITECH K120 USB NEGRO";https://www.dmi.es/ficha/OP1234387;76.00;920-002499;;;5099206020825;999996;194;Teclados;OP1234387;920-002499;3200.00;;;https://www.dmi.es/photo/194/539/59108835910883/bg/teclado-logitech-k120-usb-negro.jpg;https://www.dmi.es/photo/194/539/59108835910883/pq/teclado-logitech-k120-usb-negro.jpg;https://www.dmi.es/photo/194/539/59108835910883/pq/teclado-logitech-k120-usb-negro.jpg
TF0365092;https://www.dmi.es/photo/2779/541/1797302617973026/th/flip-cover-samsung-s4-amarillo.jpg;0.50;21;0.00;;2.32;;"Accesorios telefonía";Samsung;"Flip Cover Samsung S4/AMARILLO";https://www.dmi.es/ficha/TF0365092;18.00;EF-FI950BYEGWW;;"Flip Cover, Galaxy S4";8806085515901;999953;2779;"Fundas para Móviles";TF0365092;EF-FI950BYEGWW;162.00;"Flip Cover, Galaxy S4";;https://www.dmi.es/photo/2779/541/1797302617973026/bg/flip-cover-samsung-s4-amarillo.jpg;https://www.dmi.es/photo/2779/541/1797302617973026/pq/flip-cover-samsung-s4-amarillo.jpg;https://www.dmi.es/photo/2779/541/1797302617973026/pq/flip-cover-samsung-s4-amarillo.jpg
TF0465010;https://www.dmi.es/photo/998/550/1961831019618310/th/soporte-coche-samsung-ee-v200sa-negro.jpg;0.50;21;0.00;;15.89;;"Accesorios telefonía";Samsung;"SOPORTE COCHE SAMSUNG EE-V200SA NEGRO";https://www.dmi.es/ficha/TF0465010;0.00;EE-V200SABEGWW;;"Universal Smartphone Vehicle Dock";8806085880511;999953;998;"Soportes Smartphones";TF0465010;EE-V200SABEGWW;2688.00;"Universal Smartphone Vehicle Dock";;https://www.dmi.es/photo/998/550/1961831019618310/bg/soporte-coche-samsung-ee-v200sa-negro.jpg;https://www.dmi.es/photo/998/550/1961831019618310/pq/soporte-coche-samsung-ee-v200sa-negro.jpg;https://www.dmi.es/photo/998/550/1961831019618310/pq/soporte-coche-samsung-ee-v200sa-negro.jpg
CD41176181;https://www.dmi.es/photo/214/557/2507928825079288/th/dvd-rw-externa-ultra-slim-negro-usb.jpg;0.10;21;1.86;"Canon Grabadora DVD";18.67;;Lectores;LG;"DVD-RW Externa ULTRA-SLIM NEGRO USB";https://www.dmi.es/ficha/CD41176181;100.00;GP57EB40.AUAE10B;;;8806087132199;999985;214;"Lector Grabador Óptico";CD41176181;GP57EB40.AUAE10B;1224.00;;;https://www.dmi.es/photo/214/557/2507928825079288/bg/dvd-rw-externa-ultra-slim-negro-usb.jpg;https://www.dmi.es/photo/214/557/2507928825079288/pq/dvd-rw-externa-ultra-slim-negro-usb.jpg;https://www.dmi.es/photo/214/557/2507928825079288/pq/dvd-rw-externa-ultra-slim-negro-usb.jpg
TA70233074;https://www.dmi.es/photo/1399/573/2640362526403625/th/cargador-bluestork-universal-sin-cable-4-puertos-usb-2-1a-blanco.jpg;0.10;21;0.00;;4.16;;"Accesorios telefonía";Bluestork;"CARGADOR BLUESTORK UNIVERSAL SIN CABLE 4 PUERTOS USB 2,1A BLANCO";https://www.dmi.es/ficha/TA70233074;100.00;BS-220-4USB/PWH;;"220V, 4 x USB, 3100mA";3760162059861;999953;1399;Cargadores;TA70233074;BS-220-4USB/PWH;1020.00;"220V, 4 x USB, 3100mA";;https://www.dmi.es/photo/1399/573/2640362526403625/bg/cargador-bluestork-universal-sin-cable-4-puertos-usb-2-1a-blanco.jpg;https://www.dmi.es/photo/1399/573/2640362526403625/pq/cargador-bluestork-universal-sin-cable-4-puertos-usb-2-1a-blanco.jpg;https://www.dmi.es/photo/1399/573/2640362526403625/pq/cargador-bluestork-universal-sin-cable-4-puertos-usb-2-1a-blanco.jpg
OP1234401;https://www.dmi.es/photo/194/582/57588005758800/th/combo-teclado-raton-logitech--mk520-inalambrico-negro.jpg;0.10;21;0.00;;43.49;;Periféricos;Logitech;"COMBO TECLADO RATON LOGITECH  MK520 INALAMBRICO NEGRO";https://www.dmi.es/ficha/OP1234401;1.00;920-002607;;"Wireless Combo MK520, USB, 2.4 GHz, 10m";5099206022645;999996;194;Teclados;OP1234401;920-002607;6762.00;"Wireless Combo MK520, USB, 2.4 GHz, 10m";;https://www.dmi.es/photo/194/582/57588005758800/bg/combo-teclado-raton-logitech--mk520-inalambrico-negro.jpg;https://www.dmi.es/photo/194/582/57588005758800/pq/combo-teclado-raton-logitech--mk520-inalambrico-negro.jpg;https://www.dmi.es/photo/194/582/57588005758800/pq/combo-teclado-raton-logitech--mk520-inalambrico-negro.jpg
GA10207049;https://www.dmi.es/photo/193/618/2951841529518415/th/mcz-s-u-r-f-r-controller-black.jpg;0.40;21;0.00;;36.43;;Gaming;"Mad Catz";"MCZ S.U.R.F.R Controller-BLACK";https://www.dmi.es/ficha/GA10207049;6.00;MCB322720002/04/1;;;0728658044558;999956;193;"Mandos, Volantes y Joysticks";GA10207049;MCB322720002/04/1;1140.00;;;https://www.dmi.es/photo/193/618/2951841529518415/bg/mcz-s-u-r-f-r-controller-black.jpg;https://www.dmi.es/photo/193/618/2951841529518415/pq/mcz-s-u-r-f-r-controller-black.jpg;https://www.dmi.es/photo/193/618/2951841529518415/pq/mcz-s-u-r-f-r-controller-black.jpg
GA10207052;https://www.dmi.es/photo/193/619/2951798329517983/th/mando-smrt-mcz-l-y-n-x-3-green.jpg;0.30;21;0.00;;36.43;;Gaming;"Mad Catz";"MANDO SMRT MCZ L.Y.N.X.3-Green";https://www.dmi.es/ficha/GA10207052;100.00;MCB322690006/04/1;;;0728658046231;999956;193;"Mandos, Volantes y Joysticks";GA10207052;MCB322690006/04/1;1248.00;;;https://www.dmi.es/photo/193/619/2951798329517983/bg/mando-smrt-mcz-l-y-n-x-3-green.jpg;https://www.dmi.es/photo/193/619/2951798329517983/pq/mando-smrt-mcz-l-y-n-x-3-green.jpg;https://www.dmi.es/photo/193/619/2951798329517983/pq/mando-smrt-mcz-l-y-n-x-3-green.jpg
